tag,text
DEFINITION,"to move nearer a place in a determined way, or in spite of opposition or difficulties"
EXAMPLE,John pushed forward into the dark entrance of the cave. 
HEADWORD,push in
DEFINITION,"to stand in front of people who have been waiting longer than you in a queue, in a way that is unfair"
EXAMPLE,"We were all waiting patiently for a taxi, but he just pushed in."
HEADWORD,push into
DEFINITION,to strongly encourage or force someone to do something
EXAMPLE,She claims that the police pushed her into giving evidence. 
HEADWORD,push off
DEFINITION,to leave a place
EXAMPLE,"If there's nothing else, I'll push off then. "
HEADWORD,push on
DEFINITION,"to continue a journey, especially after stopping for a period of time"
EXAMPLE,It's getting late. We'd better be pushing on. 
HEADWORD,push over
DEFINITION,to push someone or something hard so that they fall from a standing position
EXAMPLE,She pushed me over in the playground. 
HEADWORD,push past
DEFINITION,"to push someone as you go past them, in a rude way"
EXAMPLE,A man pushed past her and knocked her bag out of her hand. 
HEADWORD,push through
DEFINITION,"to succeed in getting a law, agreement etc accepted quickly although a lot of people oppose it"
EXAMPLE,He is determined to push the bill through Parliament. 
HEADWORD,push to
DEFINITION,to close a door or window by pushing it
EXAMPLE,"Can you push the door to, please?"
HEADWORD,push towards
DEFINITION,to make someone do something or try to do something
EXAMPLE,His treatment at work pushed him towards resignation. 
HEADWORD,push up
DEFINITION,to make something increase
EXAMPLE,Inflation is pushing up costs. 
HEADWORD,pussyfoot around
DEFINITION,to avoid doing or saying anything definite because you are not sure what to do or you do not want to offend anyone
EXAMPLE,Stop pussyfooting around and make a decision!
HEADWORD,put about
DEFINITION,"to tell a lot of people something, especially something that is not true"
EXAMPLE,This was just one of the stories that had been put about. 
HEADWORD,put above
DEFINITION,to treat one thing or person as being more important than another thing or person
EXAMPLE,Many men put their careers above that of their partners. 
HEADWORD,put across
DEFINITION,"to explain an idea, belief etc in a way that is easy to understand"
EXAMPLE,Television can be a useful way of putting across health messages. 
HEADWORD,put around
DEFINITION,"to tell a lot of people something, especially something that is not true"
EXAMPLE,Among the stories being put around was one that I was being paid a million dollars a show. 
HEADWORD,put aside
DEFINITION,"to not allow yourself to be affected by a problem, argument etc so that you can achieve something more important"
EXAMPLE,Laura put aside her concerns and got on with the job. 
HEADWORD,put at
DEFINITION,"to calculate the cost, amount, size etc of something"
EXAMPLE,"The cost of repairing the damage was put at £100,000. "
HEADWORD,put away
DEFINITION,to put something in the place where you usually keep it when you are not using it
EXAMPLE,He put the notebook away and stood up. 
HEADWORD,put back
DEFINITION,to put something in the place where it was before it was moved
EXAMPLE,Put the books back where you found them. 
HEADWORD,put down
DEFINITION,"to put something that you are holding onto a surface, especially the floor"
EXAMPLE,Emma put down her bag and went upstairs. 
HEADWORD,put down as
DEFINITION,to think that someone is a particular type of person
EXAMPLE,I'm surprised she was nervous. I'd always put her down as being very confident.
HEADWORD,put down for
DEFINITION,to write someone's name on a list so that they can take part in an activity or become a member of an institution or organization
EXAMPLE,It's the sort of school you have to put them down for at birth. 
HEADWORD,put down to
DEFINITION,to think that something is the cause of something else
EXAMPLE,I put his irritability down to tiredness. 
HEADWORD,put forward
DEFINITION,"to suggest something or offer an idea, opinion, reason etc, especially so that people can discuss it and make a decision"
EXAMPLE,He rejected all the proposals put forward by the committee. 
HEADWORD,put in
DEFINITION,"to spend a particular amount of time doing something, or to make a particular amount of effort in order to do something"
EXAMPLE,Wendy has been putting in more hours at the office recently. 
HEADWORD,put in for
DEFINITION,to officially ask for something
EXAMPLE,We've put in for a grant to repair the building. 
HEADWORD,put into
DEFINITION,to improve something by adding a particular quality to it
EXAMPLE,I want to put some excitement back into my life. 
HEADWORD,put off
DEFINITION,"to make someone not want to do something, or to make someone not like someone or something"
EXAMPLE,Lack of parking space was putting potential customers off. 
HEADWORD,put on
DEFINITION,to dress yourself with a piece of clothing or jewellery
EXAMPLE,Dorothy put on her coat and went out. 
HEADWORD,put onto
DEFINITION,to tell someone about someone or something that would be useful to them
EXAMPLE,Jan put me onto a great hairdresser in the centre of town.
HEADWORD,put out
DEFINITION,to make something stop burning
EXAMPLE,Has the fire been put out yet? 
HEADWORD,put over
DEFINITION,to trick someone into believing something that is not true
EXAMPLE,The programme-makers are putting one over on a gullible audience.
HEADWORD,put past
DEFINITION,"used for saying that you would not be surprised if someone did something, even though it is extreme or unusual"
EXAMPLE,I wouldn't put it past him to fake his own death.
HEADWORD,put through
DEFINITION,to make someone do or experience something difficult or unpleasant
EXAMPLE,Children shouldn't be put through the ordeal of giving evidence in court. 
HEADWORD,put to
DEFINITION,to formally suggest something to a group of people so they can discuss it or vote on it
EXAMPLE,I put the resolution to the meeting. 
HEADWORD,put together
DEFINITION,to produce or organize something by combining several different things
EXAMPLE,The exhibition has been put together by a group of young artists. 
HEADWORD,put towards
DEFINITION,to give a particular amount of money to a collection in order to buy something
EXAMPLE,We each put £5 towards her leaving present. 
HEADWORD,put under
DEFINITION,to make someone unconscious before a medical operation by giving them a drug
EXAMPLE,You'll have to fast for 24 hours before we put you under.
HEADWORD,put up
DEFINITION,"to build something such as a wall, fence, or house"
EXAMPLE,Grants were available to help with the cost of putting up new school buildings. 
HEADWORD,put upon
DEFINITION,to make someone do something for you that you should not expect them to do but which they do out of kindness
EXAMPLE,His eagerness to please ensured that he was always put upon.
HEADWORD,put up to
DEFINITION,to encourage someone to do something stupid or wrong
EXAMPLE,One of the older boys must have put him up to it.
HEADWORD,put up with
DEFINITION,"to accept unpleasant behaviour by someone or an annoying situation without complaining, even though you do not like it"
EXAMPLE,How has Jan put up with him for so long? 
HEADWORD,puzzle out
DEFINITION,to solve a confusing or complicated problem by thinking carefully about it
EXAMPLE,"That's all he told us, and we were left to puzzle the whole thing out for ourselves. "
HEADWORD,puzzle over
DEFINITION,to think hard about someone or something for a long time and try to understand them
EXAMPLE,"I've puzzled over this question for a while, and I'm still not sure what the right answer is."
HEADWORD,quarrel with
DEFINITION,to think that someone or something is wrong
EXAMPLE,Few people would quarrel with the aims of these proposals. 
HEADWORD,queue up
DEFINITION,"to stand in a line of people, waiting to do something or get something"
EXAMPLE,Hundreds of people were queuing up outside. 
HEADWORD,quieten down
DEFINITION,"to make someone calmer or quieter, or to become calmer or quieter"
EXAMPLE,He waved his arms to quieten them down. 
HEADWORD,rabbit on
DEFINITION,to talk about something for a long time so that people feel bored or annoyed
EXAMPLE,What's Elizabeth rabbiting on about?
HEADWORD,rack up
DEFINITION,to get a large number or amount of something
EXAMPLE,The film racked up five Oscar nominations. 
HEADWORD,raffle off
DEFINITION,to offer something as a prize in a raffle
EXAMPLE,We raffle off all the items that have been donated.
HEADWORD,rag on
DEFINITION,"to say things in order to embarrass someone, usually in a friendly way"
EXAMPLE,The boys enjoyed ragging on each other.
HEADWORD,rage at
DEFINITION,to shout angrily at someone
EXAMPLE,I could hear one of the customers raging at him.
HEADWORD,rail against
DEFINITION,to express strong anger about something that you think is wrong or unfair
EXAMPLE,His articles rail against the decline of culture in American society.
HEADWORD,railroad into
DEFINITION,to force someone to do something that they do not really want to do
